ID,pdf_name,year,report_name,company_name,Country,Sector,Ticker,Website,"NACE Rev. 2, core code (4 digits)","NAICS 2022, core code (4 digits)","US SIC, core code (3 digits)","US SIC, primary code(s)",NACE Section,NACE Group,NAICS Category,LEI (Legal Entity Identifier),BvD ID number,FTSE 100 (01 01 2025),LSE URL,Description,RQI,CT
10,10_Abbott Laboratories_2009.pdf,2009,2009 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.737397959,0.219288999
10,10_Abbott Laboratories_2010.pdf,2010,2010 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.11828758,0.268735652
10,10_Abbott Laboratories_2011.pdf,2011,2011 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.128781809,0.525753834
10,10_Abbott Laboratories_2012.pdf,2012,2012 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.725856632,0.110779394
10,10_Abbott Laboratories_2013.pdf,2013,2013 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.167703719,0.451812678
10,10_Abbott Laboratories_2014.pdf,2014,2014 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.228512837,0.045980024
10,10_Abbott Laboratories_2015.pdf,2015,2015 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.418902934,0.588437701
10,10_Abbott Laboratories_2016.pdf,2016,2016 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.445228016,0.249931428
10,10_Abbott Laboratories_2017.pdf,2017,2017 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.287316987,0.731381779
10,10_Abbott Laboratories_2018.pdf,2018,2018 Annual Report ,Abbott Laboratories,United States of America,"Chemicals, Petroleum, Rubber & Plastic",ABT,https://www.abbott.com,2120,3254,283,2834,MANUFACTURING,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,HQD377W2YR662HK5JX27,US360698440,No,,"Abbott Laboratories is a global healthcare company. The Company's portfolio of technologies spans the spectrum of healthcare, with businesses and products in diagnostics, medical devices, nutritional and branded generic medicines. Its segments include Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",0.918915923,0.075834887
